Arquivo,Tipo,Tamanho,Execucao_1,Execucao_2,Execucao_3,Execucao_4,Execucao_5,Execucao_6,Execucao_7,Execucao_8,Execucao_9,Execucao_10,Execucao_11,Execucao_12,Execucao_13,Execucao_14,Execucao_15,Execucao_16,Execucao_17,Execucao_18,Execucao_19,Execucao_20,Execucao_21,Execucao_22,Execucao_23,Execucao_24,Execucao_25,Execucao_26,Execucao_27,Execucao_28,Execucao_29,Execucao_30
entrada_aleatoria_10000.txt,aleatoria,10000,0.007000,0.003000,0.001000,0.002000,0.001000,0.002000,0.002000,0.002000,0.001000,0.002000,0.001000,0.002000,0.001000,0.002000,0.000000,0.000000,0.004000,0.002000,0.002000,0.001000,0.002000,0.001000,0.001000,0.002000,0.001000,0.002000,0.000000,0.003000,0.000000,0.002000
entrada_aleatoria_50000.txt,aleatoria,50000,0.009000,0.012000,0.009000,0.012000,0.011000,0.010000,0.009000,0.007000,0.000000,0.019000,0.008000,0.008000,0.009000,0.009000,0.006000,0.010000,0.005000,0.010000,0.007000,0.010000,0.009000,0.012000,0.014000,0.008000,0.009000,0.011000,0.008000,0.008000,0.011000,0.006000
entrada_aleatoria_100000.txt,aleatoria,100000,0.025000,0.021000,0.028000,0.027000,0.027000,0.021000,0.027000,0.025000,0.022000,0.021000,0.018000,0.017000,0.018000,0.019000,0.018000,0.019000,0.023000,0.019000,0.024000,0.017000,0.017000,0.020000,0.017000,0.019000,0.019000,0.016000,0.017000,0.017000,0.018000,0.016000
entrada_ordenada_crescente_10000.txt,ordenada_crescente,10000,0.001000,0.000000,0.002000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.002000,0.001000,0.001000,0.001000,0.001000,0.002000,0.001000,0.001000,0.001000
entrada_ordenada_crescente_50000.txt,ordenada_crescente,50000,0.007000,0.005000,0.004000,0.006000,0.005000,0.004000,0.006000,0.005000,0.004000,0.005000,0.007000,0.006000,0.005000,0.005000,0.006000,0.006000,0.007000,0.004000,0.005000,0.005000,0.004000,0.004000,0.006000,0.004000,0.005000,0.004000,0.006000,0.004000,0.004000,0.005000
entrada_ordenada_crescente_100000.txt,ordenada_crescente,100000,0.011000,0.010000,0.009000,0.012000,0.013000,0.010000,0.011000,0.009000,0.010000,0.011000,0.009000,0.011000,0.009000,0.010000,0.010000,0.009000,0.010000,0.008000,0.010000,0.009000,0.010000,0.011000,0.009000,0.010000,0.009000,0.010000,0.010000,0.010000,0.013000,0.018000
entrada_ordenada_decrescente_10000.txt,ordenada_decrescente,10000,0.002000,0.001000,0.002000,0.001000,0.002000,0.002000,0.001000,0.002000,0.001000,0.002000,0.001000,0.002000,0.001000,0.002000,0.002000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.002000,0.001000
entrada_ordenada_decrescente_50000.txt,ordenada_decrescente,50000,0.007000,0.006000,0.008000,0.005000,0.007000,0.006000,0.005000,0.004000,0.006000,0.005000,0.004000,0.007000,0.005000,0.004000,0.007000,0.004000,0.005000,0.006000,0.005000,0.004000,0.005000,0.005000,0.004000,0.005000,0.005000,0.005000,0.004000,0.005000,0.005000,0.005000
entrada_ordenada_decrescente_100000.txt,ordenada_decrescente,100000,0.013000,0.012000,0.008000,0.011000,0.009000,0.010000,0.010000,0.009000,0.009000,0.008000,0.009000,0.010000,0.008000,0.011000,0.009000,0.014000,0.014000,0.012000,0.015000,0.013000,0.013000,0.008000,0.016000,0.012000,0.013000,0.011000,0.010000,0.011000,0.010000,0.010000
entrada_quase_ordenada_10000.txt,quase_ordenada,10000,0.000000,0.006000,0.002000,0.002000,0.000000,0.000000,0.004000,0.000000,0.002000,0.001000,0.002000,0.002000,0.001000,0.002000,0.000000,0.002000,0.002000,0.000000,0.002000,0.000000,0.000000,0.002000,0.000000,0.001000,0.001000,0.002000,0.000000,0.000000,0.004000,0.002000
entrada_quase_ordenada_50000.txt,quase_ordenada,50000,0.006000,0.008000,0.006000,0.008000,0.006000,0.004000,0.006000,0.009000,0.006000,0.008000,0.000000,0.011000,0.006000,0.005000,0.005000,0.006000,0.006000,0.005000,0.006000,0.006000,0.004000,0.008000,0.006000,0.002000,0.009000,0.007000,0.005000,0.006000,0.004000,0.009000
entrada_quase_ordenada_100000.txt,quase_ordenada,100000,0.019000,0.016000,0.004000,0.021000,0.013000,0.012000,0.011000,0.011000,0.012000,0.011000,0.002000,0.014000,0.016000,0.010000,0.011000,0.015000,0.011000,0.012000,0.014000,0.012000,0.009000,0.014000,0.014000,0.011000,0.004000,0.021000,0.011000,0.013000,0.013000,0.006000
entrada_com_duplicatas_10000.txt,com_duplicatas,10000,0.002000,0.003000,0.001000,0.001000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.000000,0.003000,0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.009000,0.000000,0.003000
entrada_com_duplicatas_50000.txt,com_duplicatas,50000,0.013000,0.007000,0.014000,0.008000,0.010000,0.009000,0.006000,0.010000,0.008000,0.008000,0.008000,0.007000,0.011000,0.012000,0.009000,0.010000,0.011000,0.010000,0.012000,0.004000,0.016000,0.000000,0.017000,0.009000,0.005000,0.009000,0.007000,0.008000,0.008000,0.008000
entrada_com_duplicatas_100000.txt,com_duplicatas,100000,0.018000,0.017000,0.008000,0.028000,0.018000,0.017000,0.021000,0.019000,0.019000,0.019000,0.016000,0.016000,0.020000,0.016000,0.016000,0.015000,0.017000,0.015000,0.016000,0.019000,0.016000,0.018000,0.016000,0.015000,0.016000,0.017000,0.016000,0.019000,0.017000,0.015000
